density,DPOP,BfsDpop,CecDpop
0.09885057471264368,0.42,0.24,0.15
0.2988505747126437,0.17,0.1,0.09
0.49885057471264366,0.2,0.05,0.04
0.6988505747126437,0.21,0.1,0.03
0.8988505747126436,0.22,0.06,0.06
