nodeCnt,DPOP,Bfs-DPOP,Brc-DPOP,Cec-DPOP
5,1470.0,180.0,160.0,151.0
10,1645.0,223.0,230.0,218.0
15,1686.0,306.0,242.0,212.0
20,1911.0,266.0,264.0,249.0
25,1637.0,254.0,235.0,215.0
30,1646.0,266.0,253.0,232.0
35,1676.0,252.0,243.0,225.0
40,1800.0,269.0,228.0,212.0
