nodeCnt,DPOP,Bfs-DPOP,Brc-DPOP,Cec-DPOP
5,0.134,0.12,0.06,0.04
10,0.0954,0.08,0.06,0.07
15,0.156,0.085,0.068,0.057
20,0.158,0.07,0.062,0.04
25,0.15,0.12,0.058,0.045
30,0.21,0.12,0.10,0.07
