nodeCnt,DPOP,BfsDpop,BrcBfsDpop
3,1.0,0.0,0.0
5,2.0,1.0,0.0
10,31.0,1.0,1.0
15,8.0,3.0,1.0
20,7.0,3.0,2.0
25,14.0,4.0,2.0
30,11.0,3.0,1.0
