nodeCnt,DPOP,Bfs-DPOP,Brc-DPOP,Cec-DPOP
5,1360.0,154.0,152.0,143.0
10,2174.0,182.0,183.0,166.0
15,1302.0,165.0,166.0,157.0
20,1735.0,182.0,171.0,164.0
25,1502.0,192.0,200.0,186.0
30,1466.0,207.0,225.0,194.0
35,1938.0,251.0,204.0,176.0
40,1345.0,216.0,207.0,190.0
45,1544.0,252.0,215.0,189.0
50,1395.0,252.0,756.0,213.0
