domainCnt,DPOP,Bfs-DPOP,Brc-DPOP,Cec-DPOP
5,1371.0,225.0,226.0,182.0
10,1676.0,246.0,226.0,182.0
15,1481.0,280.0,245.0,219.0
20,1575.0,705.0,306.0,269.0
25,1504.0,301.0,764.0,343.0
30,2131.0,346.0,333.0,289.0
35,2113.0,399.0,514.0,329.0
